course name,difficulty,workload,professor,year,course_material,lecture_length
cosc-3807,challenging,medium,Mark,Third,application,1.5 hours
cosc-3207,difficult,low,Amr,Third,theory,1.5 hours
cosc-1036,easy,medium,Mangiardi,First,application,1.5 hours
cosc-1037,challenging,medium,Mangiardi,First,application,1.5 hours
cosc-1056,challenging,low,Armstrong,First,theory,1.5 hours
cosc-2506,difficult,low,Czapor,Second,theory,1.5 hours
cosc-2026,challenging,high,Grewal,Second,application,3 hours
cosc-2006,difficult,medium,Amr,Second,application,1.5 hours
cosc-2206,challenging,high,Grewal,Second,application,1.5 hours
cosc-2306,challenging,medium,Mark,Second,application,1.5 hours
cosc-2307,challenging,high,Grewal,Second,application,3 hours
cosc-2406,difficult,medium,Mangiardi,Second,application,1.5 hours
cosc 2947,challenging,medium,Mangiardi,Second,application,1.5 hours
cosc-3026,challenging,high,Grewal,Third,application,3 hours
cosc-3106,difficult,medium,Czapor,Third,theory,1.5 hours
cosc-3127,challenging,low,Amr,Third,theory,1.5 hours
cosc-3406,challenging,high,Passi,Third,theory,1.5 hours
cosc-3407,difficult,high,Passi,Third,application,1.5 hours
cosc-3426,easy,medium,Amr,Third,theory,1.5 hours
cosc-3707,easy,low,Koczkodaj,Third,theory,1.5 hours
cosc-4026,challenging,low,Grewal,Third,theory,3 hours
cosc-4117,difficult,medium,Bidgoli,Fourth,mix,1.5 hours
cosc-4306,difficult,high,Amr,Fourth,mix,1.5 hours
cosc-4426,easy,low,Koczkodaj,Fourth,theory,1.5 hours
cosc-4456,easy,medium,Mayer,Fourth,mix,1.5 hours
cosc-4506,easy,low,Koczkodaj,Fourth,theory,1.5 hours
cosc-4806,challenging,high,Passi,Fourth,theory,1.5 hours
cosc-4906,easy,low,Koczkodaj,Fourth,theory,1.5 hours
cosc-4926,challenging,high,Grewal,Fourth,theory,3 hours
